Owner ID,URL,Sort Index,Image,Video,GIF,Link,Long Text,Folder,Post ID,User ID,Username,Screen Name,Content,Language,Created At,Sensitive,Post Type,Views Count,Bookmark Count,Favorite Count,Quote Count,Reply Count,Retweet Count,Avatar,Media,Quoted Post
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844721755384160761","1728650914",false,false,false,false,false,"unsorted","1844721755384160761","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@Chan37853 そうかもな　グッパイ","ja","2024-10-11T12:48:34.000Z",,"reply","7210",0,25,1,0,1,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844721395420594342","1728650828",false,false,false,false,false,"unsorted","1844721395420594342","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@K1Izh サンキュー","ja","2024-10-11T12:47:08.000Z",,"reply","14017",0,17,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844721234430640201","1728650790",false,false,false,false,false,"unsorted","1844721234430640201","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@jnAxbgOnDK63490 その通り　グッパイ","ja","2024-10-11T12:46:30.000Z",,"reply","15599",0,12,0,0,1,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844721088296554513","1728650755",false,false,false,false,false,"unsorted","1844721088296554513","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@A1euGenki サンキュー","ja","2024-10-11T12:45:55.000Z",,"reply","14160",1,13,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844706843240857809","1728647359",false,false,false,false,false,"unsorted","1844706843240857809","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@blackytwice サンキュー","ja","2024-10-11T11:49:19.000Z",,"reply","324",0,1,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844706702744342910","1728647325",false,false,false,false,false,"unsorted","1844706702744342910","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@Nyohe1024 サンキュー","ja","2024-10-11T11:48:45.000Z",,"reply","493",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844706601720291503","1728647301",false,false,false,false,false,"unsorted","1844706601720291503","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@puppetyuusuke サンキュー　ガキー","ja","2024-10-11T11:48:21.000Z",,"reply","3139",1,2,0,1,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844706479406018748","1728647272",false,false,false,false,false,"unsorted","1844706479406018748","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@amuyu16 サンキュー","ja","2024-10-11T11:47:52.000Z",,"reply","4652",0,0,0,0,1,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844706406479331836","1728647254",false,false,false,false,false,"unsorted","1844706406479331836","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@love_ssdutrz サンキュー","ja","2024-10-11T11:47:34.000Z",,"reply","369",0,1,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844706362967855598","1728647244",false,false,false,false,false,"unsorted","1844706362967855598","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@MK60_kaicho サンキュー","ja","2024-10-11T11:47:24.000Z",,"reply","5995",0,1,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1844706252947062915","1728647218",false,false,false,false,false,"unsorted","1844706252947062915","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@riis2725 サンキュー","ja","2024-10-11T11:46:58.000Z",,"reply","3595",0,3,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
